id,text,has_personal,has_sensitive_legal,has_sensitive_business,sensitive_category,cso_grade,deidentify_method,is_direct_sensitive_text,is_document_sensitive_signal,indicated_sensitive_category,note
151,표준 계약 절차를 안내했습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,계약 단어 일반문맥
152,내부 규정 개정안을 검토 중입니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,규정 단어 일반문맥
153,부서 내부 의견을 검토했습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,검토 단어 일반문맥
154,일반 업무 처리 기준을 검토했습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,검토 단어 일반문맥
155,입찰 제안 평가표를 검토했습니다,N,N,N,계약정보,O,해당 없음,N,Y,계약정보,평가자료 / 업무상 민감정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
156,계약금액 산출 근거가 포함되어 있습니다,N,N,Y,계약정보,S,범주화 또는 요약,Y,N,해당 없음,계약금액 / 업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
157,부품 단가와 원가 내역이 포함된 자료입니다,N,N,N,계약정보,O,해당 없음,N,Y,계약정보,원가정보 / 업무상 민감정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
158,향후 협상 전략이 포함된 계약 검토안입니다,N,N,N,계약정보,O,해당 없음,N,Y,계약정보,협상전략 / 업무상 민감정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
159,벤더 제안서 원문이 첨부되어 있습니다,N,N,Y,계약정보,S,범주화 또는 요약,Y,N,해당 없음,영업비밀 / 업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
160,담당자 연락처는 010-1111-2222입니다.,Y,N,N,연락처,S,마스킹,Y,N,해당 없음,부족 유형 보완 / 가상 연락처 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
161,민원인 홍가람의 휴대전화 번호를 확인해 주세요.,Y,N,N,성명/연락처,S,마스킹,Y,N,해당 없음,부족 유형 보완 / 가명 사용 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
162,사번 EF345678 직원의 야간 출입기록을 검토했습니다.,Y,N,Y,사번/출입기록,S,마스킹 및 범주화,Y,Y,사번/출입기록,개인정보와 업무상 민감정보 동시 포함 / 문장 내 직접 민감요소와 문서 확인 신호가 함께 존재 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
163,GH901234 사번 직원의 징계위원회 참석 여부를 확인했습니다.,Y,N,Y,사번/인사징계,S,마스킹 및 비식별화,Y,N,해당 없음,개인정보와 인사정보 동시 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
164,신규 입찰 평가위원별 점수표를 내부 검토했습니다.,N,N,N,입찰평가,O,해당 없음,N,Y,입찰평가,비공개 평가자료 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
165,제안서 평가 세부 배점표를 부서장에게 보고했습니다.,N,N,N,입찰평가,O,해당 없음,N,Y,입찰평가,업무상 민감정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
166,계약 단가 비교표를 협상 전 검토했습니다.,N,N,N,계약정보,O,해당 없음,N,Y,계약정보,계약 협상 정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
167,하도급 업체별 협상 가능 금액을 정리했습니다.,N,N,Y,계약정보,C,삭제 또는 범주화,Y,N,해당 없음,계약 협상 정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
168,내년도 예산 삭감 검토안을 공유합니다.,N,N,N,예산/원가정보,O,해당 없음,N,Y,예산/원가정보,예산 편성 전 내부 검토자료 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
169,부서별 인건비 원가율 분석표를 전달했습니다.,N,N,N,예산/원가정보,O,해당 없음,N,Y,예산/원가정보,원가정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
170,차량기지 보안 취약점 점검표를 첨부했습니다.,N,N,N,운영/유지보수정보,O,해당 없음,N,Y,운영/유지보수정보,시설 보안 취약점 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
171,관제시스템 장애 대응 시나리오를 검토했습니다.,N,N,N,운영/유지보수정보,O,해당 없음,N,Y,운영/유지보수정보,운영 보안 정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
172,사고 발생 시간대 CCTV 확인 결과를 보고했습니다.,N,N,Y,장애/사고대응,C,삭제 또는 요약,Y,N,해당 없음,사고 대응 정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
173,비공개 조직개편 대상 부서 목록을 검토했습니다.,N,N,N,인사/조직정보,O,해당 없음,N,Y,인사/조직정보,조직개편 정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
174,팀장급 보직 변경 검토안을 공유했습니다.,N,N,N,인사/조직정보,O,해당 없음,N,Y,인사/조직정보,인사 검토자료 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
175,근무평정 하위자 명단을 인사팀에 전달했습니다.,Y,N,Y,인사정보,S,마스킹 및 비식별화,Y,Y,인사정보,개인정보와 인사정보 동시 포함 / 문장 내 직접 민감요소와 문서 확인 신호가 함께 존재 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
176,직원 김도윤의 감봉 처분 결과를 확인했습니다.,Y,N,Y,인사정보,S,마스킹 및 비식별화,Y,N,해당 없음,가명 사용 / 인사징계 정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
177,우울증 치료 이력이 포함된 상담 기록이 접수되었습니다.,N,Y,N,건강정보,C,삭제 또는 비식별화,Y,N,해당 없음,진단명 직접 노출 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
178,직원 건강검진 재검 대상자 명단이 첨부되었습니다.,Y,Y,N,건강정보,C,마스킹 및 비식별화,Y,N,해당 없음,개인정보와 법령상 민감정보 동시 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
179,장애인 복지카드 사본을 제출했습니다.,N,Y,N,복지정보,C,삭제 또는 비식별화,Y,N,해당 없음,복지정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
180,기초생활수급자 증명서가 민원 서류에 포함되었습니다.,N,Y,N,복지정보,C,삭제 또는 비식별화,Y,N,해당 없음,복지정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
181,노선별 시간대별 혼잡도 원자료를 분석했습니다.,N,N,Y,운용데이터,S,범주화 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
182,특정 역 사고 이력 원자료를 첨부했습니다.,N,N,N,운용데이터,O,해당 없음,N,Y,운용데이터,운영 리스크 노출 가능 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
183,무임승차 단속 대상자 명단을 확인했습니다.,Y,N,Y,단속/민원정보,S,마스킹 및 비식별화,Y,Y,단속/민원정보,개인정보와 업무상 민감정보 동시 포함 / 문장 내 직접 민감요소와 문서 확인 신호가 함께 존재 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
184,개인별 민원 처리 이력을 시스템에서 조회했습니다.,Y,N,Y,민원처리정보,S,마스킹 및 비식별화,Y,N,해당 없음,개인정보와 업무상 민감정보 동시 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
185,교육 참석자 명단을 담당 부서에 전달했습니다.,Y,N,N,성명,S,마스킹,Y,N,해당 없음,명단형 개인정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
186,공개된 통계연보 자료를 참고했습니다.,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,공개자료
187,외부 공개용 보도자료 문구를 검토했습니다.,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,공개 전 일반 문안 검토
188,개찰 전 예정가격 검토자료를 공유했습니다.,N,N,N,입찰정보,O,해당 없음,N,Y,입찰정보,입찰 전 비공개 정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
189,보안 패치 적용 시간표와 담당자 배정표를 정리했습니다.,N,N,N,보안운영정보,O,해당 없음,N,Y,보안운영정보,보안 운영정보 / 문장 자체 비식별화 대상 아님 / 문서·첨부 내 업무상 민감정보 확인 신호
190,기간의 경과 등으로 비공개 필요성이 소멸된 정보,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
191,"특정 법령이나 지침에서 비공개로 명시된 대테러 계획, 국가 중요시설 보호계획 원문 등",N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
192,O 등급 C 등급,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
193,"벤더 계약서 부속 설계/기술자료, 외주 유지보수 용역사가 제공한 독점적 점검 매뉴얼, 부품 단가 및 원가 내역, 제안서 원문",N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
194,관제 지시 및 운전 취급 기록 상세 위치 정밀도 하향(예: 특정 좌표 → 구간 단위 제공),N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
195,"모델명, 네트워크 IP, 포트 노출되어 위험 모델명 등 장비식별자 삭제",N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
196,5) S등급 데이터 비식별화 조치 결과 검토 및 승인,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
197,S 등급,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
198,(비식별화 조치 내역 및 결과),N,N,N,분류설명,O,해당 없음,N,N,해당 없음,AI 오탐 피드백 직접 변환 / 비식별화 기준 설명 문장 / 메타 문장 음성 샘플
199,C등급은 외부 공개 시 기관에 중대한 피해를 줄 수 있는 기밀 정보입니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
200,S등급 정보는 비식별화 처리 후 제한적으로 공유할 수 있습니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
201,O등급 정보는 일반 업무에 활용 가능한 공개 수준의 정보입니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
202,비공개 정보의 등급별 처리 기준을 안내드립니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
203,C급 정보의 외부 유출 시 법적 제재를 받을 수 있습니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
204,개인정보 보호 조치 결과를 검토했습니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
205,민감정보 분류 기준에 따라 등급을 부여합니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
206,비식별화 대상 항목을 확인하여 조치 방법을 선택해 주세요,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
207,정보 등급별 외부 AI 활용 가능 여부를 확인하시기 바랍니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
208,C등급 항목은 삭제 또는 비식별화 처리가 필요합니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
209,개인정보 및 민감정보 처리 방침에 따라 조치합니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
210,S등급 정보의 마스킹 처리 기준을 검토했습니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
211,비공개 분류 기준 검토서를 제출했습니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
212,정보 보호 등급 분류 지침을 공유드립니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
213,C급 기밀 정보의 보존 기간 기준을 안내드립니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
214,민감정보 비식별화 절차 안내서를 첨부합니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
215,개인정보 삭제 또는 마스킹 처리 방법을 안내드립니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
216,정보 등급 분류표를 참고하여 처리 바랍니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
217,비공개 정보 취급 지침에 따라 처리했습니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
218,S급 데이터 처리 절차에 따라 비식별화 조치를 완료했습니다,N,N,N,분류설명,O,해당 없음,N,N,해당 없음,비식별화 기준·절차 설명 합성 문장 / AI 오탐 방지용 음성 샘플
219,내부망 구성도 및 서버 IP 목록을 첨부합니다,N,N,Y,보안정보,C,삭제 또는 비식별화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
220,방화벽 정책 설정값을 공유드립니다,N,N,Y,보안정보,C,삭제 또는 비식별화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
221,시스템 침해 탐지 이력을 보고드립니다,N,N,Y,보안정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
222,네트워크 취약점 점검 결과 상세 내역을 전달했습니다,N,N,Y,보안정보,C,삭제 또는 비식별화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
223,보안 시스템 접근 권한 목록을 첨부합니다,N,N,Y,보안정보,C,삭제 또는 비식별화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
224,외주업체 협상 최저가 기준을 내부 검토했습니다,N,N,Y,계약정보,C,삭제 또는 범주화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
225,예비가격 산정 결과를 부서장에게 보고했습니다,N,N,Y,예산/원가정보,C,삭제 또는 범주화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
226,계약 단가 인상 협의 내용을 기록했습니다,N,N,Y,계약정보,C,삭제 또는 범주화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
227,하도급 계약 원가 명세서를 첨부합니다,N,N,Y,계약정보,C,삭제 또는 범주화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
228,입찰 예정 가격 산출 근거를 검토했습니다,N,N,Y,예산/원가정보,C,삭제 또는 범주화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
229,관제실 비상 대응 매뉴얼 원본을 공유드립니다,N,N,Y,운영/유지보수정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
230,사고 처리 전말서 원본을 첨부합니다,N,N,Y,장애/사고대응,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
231,역사 CCTV 설치 위치 상세도를 전달했습니다,N,N,Y,보안정보,C,삭제 또는 비식별화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
232,비상 시 운영 통제 기준을 공유합니다,N,N,Y,운영/유지보수정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
233,내부 보안 감사 결과 상세 내역을 검토했습니다,N,N,Y,감사/법무정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
234,이사회 비공개 안건 자료를 배포했습니다,N,N,Y,계획/전략정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
235,임직원 급여 테이블 원본을 인사팀에 전달했습니다,N,N,Y,인사정보,C,삭제 또는 비식별화,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
236,기관 미공개 중장기 발전 계획서를 검토했습니다,N,N,Y,계획/전략정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
237,위기 대응 시나리오 원문을 공유드립니다,N,N,Y,운영/유지보수정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
238,노선 운행 중단 결정 관련 내부 검토안을 전달했습니다,N,N,Y,계획/전략정보,C,삭제 또는 요약,Y,N,해당 없음,업무상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
